"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"16297","51.3210101525","12.33807733","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Holbeinstraße",2023,1,"Schleußig","40439",90,"90","1"
"id-34722","51.3546438434","12.4076345384","Winter-Linde 'Rancho'","Tilia cordata 'Rancho'","Tilia","Heinkstraße",2008,16,"Schönefeld-Abtnaundorf","6942",60,"170","5"
"id-44071","51.3886846411","12.325029749","Zierkirsche","Prunus x schmittii","Prunus","Sandweg",2003,21,"Lindenthal","62135",175,"2075","14"
"1479","51.353888091","12.4617955205","Rot-Esche Summit","Fraxinus pennsylvanica 'Summit'","Fraxinus","Schlehenweg",2020,4,"Paunsdorf","50369",70,"740","41"
"16617","51.3678335837","12.3715593663","Hopfenbuche","Ostrya carpinifolia","Ostrya","Corinthstraße",2024,0,"Gohlis-Mitte","133800",50,"100","3"
"7627","51.3906533497","12.3186151593","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Karl-Marx-Platz",2018,6,"Lindenthal","G46669",10,"20","2"
"90153","51.3291725463","12.3086784104","Schwedische Mehlbeere","Sorbus intermedia","Sorbus","Lindenauer Hafen",2015,9,"Schönau","G20501",80,"130","2"
"94232","51.3293667938","12.3084347427","Schwedische Mehlbeere","Sorbus intermedia","Sorbus","Lindenauer Hafen",2015,9,"Schönau","G20493",50,"50","1"
"1384","51.3474121373","12.3977644087","Säulen-Hainbuche 'Frans Fontaine'","Carpinus betulus 'Frans Fontaine'","Carpinus","Mariannenstraße",2020,4,"Neustadt-Neuschönefeld","8216",10,"60","6"
"94867","51.3225865086","12.3214696348","Walnuss","Juglans regia","Juglans","Gleis-Grün-Zug Bahnhof Plagwitz",2016,8,"Plagwitz","G42210",150,"550","5"
"id-24122","51.3153498978","12.4197241274","Kaiser-Linde","Tilia x vulgaris 'Pallida'","Tilia","Naunhofer Straße",2014,10,"Stötteritz","24383",50,"50","1"
"id-29924","51.3477061149","12.3983840561","Robinie 'Sandraudiga'","Robinia pseudoacacia 'Sandraudiga'","Robinia","Rosa-Luxemburg-Straße",2018,6,"Neustadt-Neuschönefeld","9176",20,"100","9"
"id-7628","51.3220921074","12.3386254265","Kegel-Linde","Tilia flavescens 'Glenleven'","Tilia","Holbeinstraße",2017,7,"Schleußig","40457",90,"420","5"
"16818","51.3316540751","12.3752650154","Winter-Linde 'Rancho'","Tilia cordata 'Rancho'","Tilia","Emilienstraße",2023,1,"Zentrum-Süd","134116",10,"40","4"
"7451","51.3297417279","12.393119243","Sand-Birke","Betula pendula","Betula","Friedenspark (Neuer Johannisfriedhof)",2022,2,"Zentrum-Südost","G3204",10,"160","20"
"id-34939","51.3546148021","12.4080899423","Winter-Linde 'Roelvo'","Tilia cordata 'Roelvo'","Tilia","Heinkstraße",2013,11,"Schönefeld-Abtnaundorf","6946",40,"190","7"
